"","x"
"1","SAMD11"
"2","NOC2L"
"3","KLHL17"
"4","PLEKHN1"
"5","PERM1"
"6","HES4"
"7","ISG15"
"8","AGRN"
"9","RNF223"
"10","C1orf159"
"11","TTLL10"
"12","TNFRSF18"
"13","TNFRSF4"
"14","SDF4"
"15","B3GALT6"
"16","C1QTNF12"
"17","UBE2J2"
"18","SCNN1D"
"19","ACAP3"
"20","PUSL1"
"21","INTS11"
"22","CPTP"
"23","TAS1R3"
"24","DVL1"
"25","MXRA8"
"26","AURKAIP1"
"27","CCNL2"
"28","MRPL20-AS1"
"29","MRPL20"
"30","ANKRD65"
"31","VWA1"
"32","ATAD3C"
"33","ATAD3B"
"34","ATAD3A"
"35","TMEM240"
"36","SSU72"
"37","FNDC10"
"38","MIB2"
"39","MMP23B"
"40","CDK11B"
"41","FO704657.1"
"42","SLC35E2B"
"43","CDK11A"
"44","NADK"
"45","GNB1"
"46","TMEM52"
"47","CFAP74"
"48","GABRD"
"49","PRKCZ"
"50","FAAP20"
"51","SKI"
"52","MORN1"
"53","RER1"
"54","PEX10"
"55","PLCH2"
"56","PANK4"
"57","HES5"
"58","TNFRSF14"
"59","PRXL2B"
"60","MMEL1"
"61","TTC34"
"62","PRDM16"
"63","ARHGEF16"
"64","MEGF6"
"65","TPRG1L"
"66","WRAP73"
"67","TP73"
"68","SMIM1"
"69","LRRC47"
"70","CEP104"
"71","DFFB"
"72","C1orf174"
"73","AJAP1"
"74","NPHP4"
"75","KCNAB2"
"76","CHD5"
"77","RNF207"
"78","ICMT"
"79","GPR153"
"80","ACOT7"
"81","HES2"
"82","ESPN"
"83","TNFRSF25"
"84","PLEKHG5"
"85","NOL9"
"86","TAS1R1"
"87","ZBTB48"
"88","KLHL21"
"89","PHF13"
"90","THAP3"
"91","DNAJC11"
"92","CAMTA1"
"93","VAMP3"
"94","Z98884.2"
"95","PER3"
"96","UTS2"
"97","TNFRSF9"
"98","PARK7"
"99","ERRFI1"
"100","SLC45A1"
"101","RERE"
"102","ENO1"
"103","SLC2A5"
"104","GPR157"
"105","H6PD"
"106","SPSB1"
"107","BX323043.1"
"108","SLC25A33"
"109","TMEM201"
"110","PIK3CD"
"111","CLSTN1"
"112","CTNNBIP1"
"113","LZIC"
"114","NMNAT1"
"115","RBP7"
"116","UBE4B"
"117","KIF1B"
"118","PGD"
"119","CENPS"
"120","CORT"
"121","DFFA"
"122","PEX14"
"123","CASZ1"
"124","C1orf127"
"125","TARDBP"
"126","SRM"
"127","EXOSC10"
"128","MTOR"
"129","ANGPTL7"
"130","UBIAD1"
"131","FBXO2"
"132","FBXO44"
"133","FBXO6"
"134","MAD2L2"
"135","DRAXIN"
"136","AGTRAP"
"137","C1orf167"
"138","MTHFR"
"139","CLCN6"
"140","KIAA2013"
"141","PLOD1"
"142","MFN2"
"143","MIIP"
"144","TNFRSF8"
"145","TNFRSF1B"
"146","VPS13D"
"147","DHRS3"
"148","C1orf158"
"149","PDPN"
"150","PRDM2"
"151","KAZN"
"152","TMEM51"
"153","FHAD1"
"154","EFHD2"
"155","CASP9"
"156","DNAJC16"
"157","AGMAT"
"158","DDI2"
