"","symbol_hs","symbol_mm","symbol_hs_mm"
"1","SAMD11","Samd11","SAMD11_Samd11"
"2","NOC2L","Noc2l","NOC2L_Noc2l"
"3","KLHL17","Klhl17","KLHL17_Klhl17"
"4","PLEKHN1","Plekhn1","PLEKHN1_Plekhn1"
"5","PERM1","Perm1","PERM1_Perm1"
"6","ISG15","Isg15","ISG15_Isg15"
"7","AGRN","Agrn","AGRN_Agrn"
"8","RNF223","Rnf223","RNF223_Rnf223"
"9","C1orf159","9430015G10Rik","C1orf159_9430015G10Rik"
"10","TTLL10","Ttll10","TTLL10_Ttll10"
"11","TNFRSF18","Tnfrsf18","TNFRSF18_Tnfrsf18"
"12","TNFRSF4","Tnfrsf4","TNFRSF4_Tnfrsf4"
"13","SDF4","Sdf4","SDF4_Sdf4"
"14","B3GALT6","B3galt6","B3GALT6_B3galt6"
"15","C1QTNF12","C1qtnf12","C1QTNF12_C1qtnf12"
"16","UBE2J2","Ube2j2","UBE2J2_Ube2j2"
"17","ACAP3","Acap3","ACAP3_Acap3"
"18","PUSL1","Pusl1","PUSL1_Pusl1"
"19","INTS11","Ints11","INTS11_Ints11"
"20","CPTP","Cptp","CPTP_Cptp"
"21","TAS1R3","Tas1r3","TAS1R3_Tas1r3"
"22","DVL1","Dvl1","DVL1_Dvl1"
"23","MXRA8","Mxra8","MXRA8_Mxra8"
"24","AURKAIP1","Aurkaip1","AURKAIP1_Aurkaip1"
"25","CCNL2","Ccnl2","CCNL2_Ccnl2"
"26","MRPL20","Mrpl20","MRPL20_Mrpl20"
"27","ANKRD65","Ankrd65","ANKRD65_Ankrd65"
"28","VWA1","Vwa1","VWA1_Vwa1"
"29","ATAD3A","Atad3a","ATAD3A_Atad3a"
"30","TMEM240","Tmem240","TMEM240_Tmem240"
"31","FNDC10","Fndc10","FNDC10_Fndc10"
"32","MIB2","Mib2","MIB2_Mib2"
"33","MMP23B","Mmp23","MMP23B_Mmp23"
"34","SLC35E2B","Slc35e2","SLC35E2B_Slc35e2"
"35","NADK","Nadk","NADK_Nadk"
"36","GNB1","Gnb1","GNB1_Gnb1"
"37","TMEM52","Tmem52","TMEM52_Tmem52"
"38","CFAP74","Cfap74","CFAP74_Cfap74"
