"symbol_mm","symbol_hs"
"Rp1","RP1"
"Sox17","SOX17"
"Mrpl15","MRPL15"
"Lypla1","LYPLA1"
"Tcea1","TCEA1"
"Atp6v1h","ATP6V1H"
"Rb1cc1","RB1CC1"
"Alkal1","ALKAL1"
"St18","ST18"
"Pcmtd1","PCMTD1"
"Rrs1","RRS1"
"Adhfe1","ADHFE1"
"Mybl1","MYBL1"
"Vcpip1","VCPIP1"
"Sgk3","SGK3"
"Tcf24","TCF24"
"Ppp1r42","PPP1R42"
"Cops5","COPS5"
"Cspp1","CSPP1"
"Arfgef1","ARFGEF1"
"Prex2","PREX2"
"A830018L16Rik","C8orf34"
"Sulf1","SULF1"
"Slco5a1","SLCO5A1"
"Ncoa2","NCOA2"
"Tram1","TRAM1"
"Lactb2","LACTB2"
"Eya1","EYA1"
"Msc","MSC"
"Terf1","TERF1"
"Sbspon","SBSPON"
"4930444P10Rik","C8orf89"
"Rdh10","RDH10"
"Stau2","STAU2"
"Ube2w","UBE2W"
"Eloc","ELOC"
"Tmem70","TMEM70"
"Ly96","LY96"
"Jph1","JPH1"
"Pi15","PI15"
"Crispld1","CRISPLD1"
"Pkhd1","PKHD1"
"Mcm3","MCM3"
"Paqr8","PAQR8"
"Efhc1","EFHC1"
"Tram2","TRAM2"
"Tmem14a","TMEM14A"
"Gsta3","GSTA5"
"Kcnq5","KCNQ5"
"Ogfrl1","OGFRL1"
"B3gat2","B3GAT2"
"Smap1","SMAP1"
"Sdhaf4","SDHAF4"
"Fam135a","FAM135A"
"Lmbrd1","LMBRD1"
"Phf3","PHF3"
"Prim2","PRIM2"
"Rab23","RAB23"
"Bag2","BAG2"
"Zfp451","ZNF451"
"Bend6","BEND6"
"Dst","DST"
"Ccdc115","CCDC115"
"Imp4","IMP4"
"Ptpn18","PTPN18"
"Fam168b","FAM168B"
"Plekhb2","PLEKHB2"
"Hs6st1","HS6ST1"
"Uggt1","UGGT1"
"Neurl3","NEURL3"
"Arid5a","ARID5A"
"Kansl3","KANSL3"
"Lman2l","LMAN2L"
"Cnnm4","CNNM4"
"Cnnm3","CNNM3"
"Ankrd23","ANKRD23"
"Ankrd39","ANKRD39"
"Sema4c","SEMA4C"
"Fam178b","FAM178B"
"Cox5b","COX5B"
"Actr1b","ACTR1B"
"Zap70","ZAP70"
"Tmem131","TMEM131"
"Vwa3b","VWA3B"
"Inpp4a","INPP4A"
"Coa5","COA5"
"Unc50","UNC50"
