ensembl_gene_id	hgnc_symbol	gene_biotype	chromosome_name
ENSG00000121410	A1BG	protein_coding	19
ENSG00000268895	A1BG-AS1	lncRNA	19
ENSG00000148584	A1CF	protein_coding	10
ENSG00000175899	A2M	protein_coding	12
ENSG00000245105	A2M-AS1	lncRNA	12
ENSG00000166535	A2ML1	protein_coding	12
ENSG00000256661	A2ML1-AS1	lncRNA	12
ENSG00000256904	A2ML1-AS2	lncRNA	12
ENSG00000184389	A3GALT2	protein_coding	1
ENSG00000118017	A4GNT	protein_coding	3
ENSG00000094914	AAAS	protein_coding	12
ENSG00000081760	AACS	protein_coding	12
ENSG00000114771	AADAC	protein_coding	3
ENSG00000188984	AADACL3	protein_coding	1
ENSG00000204518	AADACL4	protein_coding	1
ENSG00000109576	AADAT	protein_coding	4
ENSG00000103591	AAGAB	protein_coding	15
ENSG00000115977	AAK1	protein_coding	2
ENSG00000087884	AAMDC	protein_coding	11
ENSG00000127837	AAMP	protein_coding	2
ENSG00000129673	AANAT	protein_coding	17
ENSG00000131043	AAR2	protein_coding	20
ENSG00000205002	AARD	protein_coding	8
ENSG00000090861	AARS1	protein_coding	16
ENSG00000124608	AARS2	protein_coding	6
ENSG00000266967	AARSD1	protein_coding	17
ENSG00000157426	AASDH	protein_coding	4
ENSG00000149313	AASDHPPT	protein_coding	11
ENSG00000008311	AASS	protein_coding	7
ENSG00000215458	AATBC	lncRNA	21
ENSG00000275700	AATF	protein_coding	17
ENSG00000181409	AATK	protein_coding	17
ENSG00000281376	ABALON	lncRNA	20
ENSG00000183044	ABAT	protein_coding	16
ENSG00000165029	ABCA1	protein_coding	9
ENSG00000154263	ABCA10	protein_coding	17
ENSG00000144452	ABCA12	protein_coding	2
ENSG00000179869	ABCA13	protein_coding	7
ENSG00000107331	ABCA2	protein_coding	9
ENSG00000167972	ABCA3	protein_coding	16
ENSG00000198691	ABCA4	protein_coding	1
ENSG00000154265	ABCA5	protein_coding	17
ENSG00000154262	ABCA6	protein_coding	17
ENSG00000064687	ABCA7	protein_coding	19
ENSG00000141338	ABCA8	protein_coding	17
ENSG00000154258	ABCA9	protein_coding	17
ENSG00000231749	ABCA9-AS1	lncRNA	17
ENSG00000085563	ABCB1	protein_coding	7
ENSG00000135776	ABCB10	protein_coding	1
ENSG00000005471	ABCB4	protein_coding	7
ENSG00000004846	ABCB5	protein_coding	7
ENSG00000115657	ABCB6	protein_coding	2
ENSG00000131269	ABCB7	protein_coding	X
ENSG00000197150	ABCB8	protein_coding	7
ENSG00000150967	ABCB9	protein_coding	12
ENSG00000124574	ABCC10	protein_coding	6
ENSG00000121270	ABCC11	protein_coding	16
ENSG00000140798	ABCC12	protein_coding	16
ENSG00000023839	ABCC2	protein_coding	10
ENSG00000108846	ABCC3	protein_coding	17
ENSG00000125257	ABCC4	protein_coding	13
ENSG00000114770	ABCC5	protein_coding	3
ENSG00000223882	ABCC5-AS1	lncRNA	3
ENSG00000006071	ABCC8	protein_coding	11
ENSG00000069431	ABCC9	protein_coding	12
ENSG00000101986	ABCD1	protein_coding	X
ENSG00000173208	ABCD2	protein_coding	12
ENSG00000117528	ABCD3	protein_coding	1
ENSG00000119688	ABCD4	protein_coding	14
ENSG00000164163	ABCE1	protein_coding	4
ENSG00000033050	ABCF2	protein_coding	7
ENSG00000285292	ABCF2-H2BE1	protein_coding	7
ENSG00000161204	ABCF3	protein_coding	3
ENSG00000160179	ABCG1	protein_coding	21
ENSG00000118777	ABCG2	protein_coding	4
ENSG00000172350	ABCG4	protein_coding	11
ENSG00000138075	ABCG5	protein_coding	2
ENSG00000143921	ABCG8	protein_coding	2
ENSG00000143994	ABHD1	protein_coding	2
ENSG00000144827	ABHD10	protein_coding	3
ENSG00000106077	ABHD11	protein_coding	7
ENSG00000100997	ABHD12	protein_coding	20
ENSG00000131969	ABHD12B	protein_coding	14
ENSG00000139826	ABHD13	protein_coding	13
ENSG00000248487	ABHD14A	protein_coding	3
ENSG00000114786	ABHD14A-ACY1	protein_coding	3
ENSG00000114779	ABHD14B	protein_coding	3
ENSG00000168792	ABHD15	protein_coding	17
ENSG00000264031	ABHD15-AS1	lncRNA	17
ENSG00000183260	ABHD16B	protein_coding	20
ENSG00000129968	ABHD17A	protein_coding	19
ENSG00000107362	ABHD17B	protein_coding	9
ENSG00000136379	ABHD17C	protein_coding	15
ENSG00000164074	ABHD18	protein_coding	4
ENSG00000140526	ABHD2	protein_coding	15
ENSG00000158201	ABHD3	protein_coding	18
ENSG00000100439	ABHD4	protein_coding	14
ENSG00000011198	ABHD5	protein_coding	3
ENSG00000163686	ABHD6	protein_coding	3
ENSG00000127220	ABHD8	protein_coding	19
ENSG00000136754	ABI1	protein_coding	10
ENSG00000138443	ABI2	protein_coding	2
ENSG00000108798	ABI3	protein_coding	17
ENSG00000154175	ABI3BP	protein_coding	3
ENSG00000119328	ABITRAM	protein_coding	9
ENSG00000097007	ABL1	protein_coding	9
ENSG00000143322	ABL2	protein_coding	1
ENSG00000099204	ABLIM1	protein_coding	10
ENSG00000163995	ABLIM2	protein_coding	4
ENSG00000173210	ABLIM3	protein_coding	5
ENSG00000159842	ABR	protein_coding	17
ENSG00000174429	ABRA	protein_coding	8
ENSG00000146386	ABRACL	protein_coding	6
ENSG00000163322	ABRAXAS1	protein_coding	4
ENSG00000165660	ABRAXAS2	protein_coding	10
ENSG00000146109	ABT1	protein_coding	6
ENSG00000114626	ABTB1	protein_coding	3
ENSG00000166016	ABTB2	protein_coding	11
ENSG00000060971	ACAA1	protein_coding	3
ENSG00000167315	ACAA2	protein_coding	18
ENSG00000076555	ACACB	protein_coding	12
ENSG00000111271	ACAD10	protein_coding	12
ENSG00000240303	ACAD11	protein_coding	3
ENSG00000151498	ACAD8	protein_coding	11
ENSG00000177646	ACAD9	protein_coding	3
ENSG00000115361	ACADL	protein_coding	2
ENSG00000117054	ACADM	protein_coding	1
ENSG00000122971	ACADS	protein_coding	12
ENSG00000196177	ACADSB	protein_coding	10
ENSG00000072778	ACADVL	protein_coding	17
ENSG00000157766	ACAN	protein_coding	15
ENSG00000072818	ACAP1	protein_coding	17
ENSG00000114331	ACAP2	protein_coding	3
ENSG00000131584	ACAP3	protein_coding	1
ENSG00000075239	ACAT1	protein_coding	11
ENSG00000120437	ACAT2	protein_coding	6
ENSG00000182827	ACBD3	protein_coding	1
ENSG00000234478	ACBD3-AS1	lncRNA	1
ENSG00000181513	ACBD4	protein_coding	17
ENSG00000107897	ACBD5	protein_coding	10
ENSG00000230124	ACBD6	protein_coding	1
ENSG00000176244	ACBD7	protein_coding	10
ENSG00000110455	ACCS	protein_coding	11
ENSG00000205126	ACCSL	protein_coding	11
ENSG00000102977	ACD	protein_coding	16
ENSG00000159640	ACE	protein_coding	17
ENSG00000130234	ACE2	protein_coding	X
ENSG00000167769	ACER1	protein_coding	19
ENSG00000177076	ACER2	protein_coding	9
ENSG00000078124	ACER3	protein_coding	11
ENSG00000087085	ACHE	protein_coding	7
ENSG00000100813	ACIN1	protein_coding	14
ENSG00000213088	ACKR1	protein_coding	1
ENSG00000144648	ACKR2	protein_coding	3
ENSG00000144476	ACKR3	protein_coding	2
ENSG00000129048	ACKR4	protein_coding	3
ENSG00000131473	ACLY	protein_coding	17
ENSG00000153086	ACMSD	protein_coding	2
ENSG00000122729	ACO1	protein_coding	9
ENSG00000102794	ACOD1	protein_coding	13
ENSG00000184227	ACOT1	protein_coding	14
ENSG00000162390	ACOT11	protein_coding	1
ENSG00000172497	ACOT12	protein_coding	5
ENSG00000112304	ACOT13	protein_coding	6
ENSG00000119673	ACOT2	protein_coding	14
ENSG00000177465	ACOT4	protein_coding	14
ENSG00000205669	ACOT6	protein_coding	14
ENSG00000097021	ACOT7	protein_coding	1
ENSG00000101473	ACOT8	protein_coding	20
ENSG00000123130	ACOT9	protein_coding	X
ENSG00000161533	ACOX1	protein_coding	17
ENSG00000168306	ACOX2	protein_coding	3
ENSG00000087008	ACOX3	protein_coding	4
ENSG00000153093	ACOXL	protein_coding	2
ENSG00000204581	ACOXL-AS1	lncRNA	2
ENSG00000143727	ACP1	protein_coding	2
ENSG00000134575	ACP2	protein_coding	11
ENSG00000014257	ACP3	protein_coding	3
ENSG00000142513	ACP4	protein_coding	19
ENSG00000102575	ACP5	protein_coding	19
ENSG00000162836	ACP6	protein_coding	1
ENSG00000183760	ACP7	protein_coding	19
ENSG00000111644	ACRBP	protein_coding	12
ENSG00000134940	ACRV1	protein_coding	11
ENSG00000103740	ACSBG1	protein_coding	15
ENSG00000130377	ACSBG2	protein_coding	19
ENSG00000167107	ACSF2	protein_coding	17
ENSG00000176715	ACSF3	protein_coding	16
ENSG00000151726	ACSL1	protein_coding	4
ENSG00000123983	ACSL3	protein_coding	2
ENSG00000234193	ACSL3-AS1	lncRNA	2
ENSG00000068366	ACSL4	protein_coding	X
ENSG00000197142	ACSL5	protein_coding	10
ENSG00000164398	ACSL6	protein_coding	5
ENSG00000223548	ACSL6-AS1	lncRNA	5
ENSG00000166743	ACSM1	protein_coding	16
ENSG00000183747	ACSM2A	protein_coding	16
ENSG00000066813	ACSM2B	protein_coding	16
ENSG00000005187	ACSM3	protein_coding	16
ENSG00000215009	ACSM4	protein_coding	12
ENSG00000183549	ACSM5	protein_coding	16
ENSG00000173124	ACSM6	protein_coding	10
ENSG00000154930	ACSS1	protein_coding	20
ENSG00000131069	ACSS2	protein_coding	20
ENSG00000111058	ACSS3	protein_coding	12
ENSG00000143632	ACTA1	protein_coding	1
ENSG00000107796	ACTA2	protein_coding	10
ENSG00000180139	ACTA2-AS1	lncRNA	10
ENSG00000075624	ACTB	protein_coding	7
ENSG00000169067	ACTBL2	protein_coding	5
ENSG00000159251	ACTC1	protein_coding	15
ENSG00000184009	ACTG1	protein_coding	17
ENSG00000163017	ACTG2	protein_coding	2
ENSG00000182584	ACTL10	protein_coding	20
ENSG00000136518	ACTL6A	protein_coding	3
ENSG00000077080	ACTL6B	protein_coding	7
ENSG00000187003	ACTL7A	protein_coding	9
ENSG00000148156	ACTL7B	protein_coding	9
ENSG00000117148	ACTL8	protein_coding	1
ENSG00000181786	ACTL9	protein_coding	19
ENSG00000072110	ACTN1	protein_coding	14
ENSG00000077522	ACTN2	protein_coding	1
ENSG00000248746	ACTN3	protein_coding	11
ENSG00000130402	ACTN4	protein_coding	19
ENSG00000131966	ACTR10	protein_coding	14
ENSG00000138107	ACTR1A	protein_coding	10
ENSG00000115073	ACTR1B	protein_coding	2
ENSG00000138071	ACTR2	protein_coding	2
ENSG00000115091	ACTR3	protein_coding	2
ENSG00000133627	ACTR3B	protein_coding	7
ENSG00000106526	ACTR3C	protein_coding	7
ENSG00000101442	ACTR5	protein_coding	20
ENSG00000075089	ACTR6	protein_coding	12
ENSG00000113812	ACTR8	protein_coding	3
ENSG00000123165	ACTRT1	protein_coding	X
ENSG00000169717	ACTRT2	protein_coding	1
ENSG00000184378	ACTRT3	protein_coding	3
ENSG00000115170	ACVR1	protein_coding	2
ENSG00000135503	ACVR1B	protein_coding	12
ENSG00000123612	ACVR1C	protein_coding	2
ENSG00000121989	ACVR2A	protein_coding	2
ENSG00000114739	ACVR2B	protein_coding	3
ENSG00000229589	ACVR2B-AS1	lncRNA	3
ENSG00000139567	ACVRL1	protein_coding	12
ENSG00000243989	ACY1	protein_coding	3
ENSG00000132744	ACY3	protein_coding	11
ENSG00000119640	ACYP1	protein_coding	14
ENSG00000170634	ACYP2	protein_coding	2
ENSG00000196839	ADA	protein_coding	20
ENSG00000164113	ADAD1	protein_coding	4
ENSG00000140955	ADAD2	protein_coding	16
ENSG00000168803	ADAL	protein_coding	15
ENSG00000137845	ADAM10	protein_coding	15
ENSG00000073670	ADAM11	protein_coding	17
ENSG00000148848	ADAM12	protein_coding	10
