ensembl_gene_id	mgi_symbol	gene_biotype	chromosome_name	start_position	end_position
ENSMUSG00000086714	0610009E02Rik	lncRNA	2	26335708	26349402
ENSMUSG00000058812	0610039K10Rik	lncRNA	2	163486770	163487721
ENSMUSG00000087361	0610043K17Rik	lncRNA	4	101210980	101256378
ENSMUSG00000090066	1110002E22Rik	protein_coding	3	137770813	137787267
ENSMUSG00000102531	1110002O04Rik	lncRNA	1	35918926	35920200
ENSMUSG00000028441	1110017D15Rik	protein_coding	4	41505009	41517333
ENSMUSG00000085151	1110018N20Rik	lncRNA	2	167030622	167034728
ENSMUSG00000046999	1110032F04Rik	protein_coding	3	68776919	68779496
ENSMUSG00000040591	1110051M20Rik	protein_coding	2	91105413	91275049
ENSMUSG00000078570	1110065P20Rik	protein_coding	4	124742873	124744989
ENSMUSG00000087684	1200007C13Rik	lncRNA	2	167669613	167675566
ENSMUSG00000096221	1500002C15Rik	lncRNA	4	155817002	155819184
ENSMUSG00000098912	1500004A13Rik	lncRNA	3	88690250	88739854
ENSMUSG00000044320	1700001O22Rik	protein_coding	2	30684781	30693673
ENSMUSG00000038523	1700003F12Rik	protein_coding	2	154389005	154391923
ENSMUSG00000026831	1700007K13Rik	protein_coding	2	28352013	28356344
ENSMUSG00000027886	1700013F07Rik	protein_coding	3	108441466	108452039
ENSMUSG00000015962	1700016C15Rik	protein_coding	1	177557380	177580890
ENSMUSG00000043629	1700019D03Rik	protein_coding	1	52961483	53059338
ENSMUSG00000100253	1700020N18Rik	lncRNA	1	91332601	91333751
ENSMUSG00000032666	1700025G04Rik	protein_coding	1	151728154	151965876
ENSMUSG00000044916	1700029I15Rik	protein_coding	2	92212883	92216053
ENSMUSG00000055833	1700034H15Rik	lncRNA	1	191618242	191639639
ENSMUSG00000027327	1700037H04Rik	protein_coding	2	130988244	131002001
ENSMUSG00000097515	1700040D17Rik	lncRNA	3	94316702	94320226
ENSMUSG00000100147	1700047M11Rik	lncRNA	1	182115555	182130890
ENSMUSG00000070997	1700055D18Rik	lncRNA	4	45011687	45015406
ENSMUSG00000044854	1700056E22Rik	protein_coding	1	183765227	183766498
ENSMUSG00000038323	1700066M21Rik	protein_coding	1	57416779	57424582
ENSMUSG00000100747	1700084E18Rik	lncRNA	2	30126807	30128235
ENSMUSG00000085085	1700086P04Rik	lncRNA	4	128943890	128951776
ENSMUSG00000118506	1700094D03Rik	protein_coding	3	89970103	89975654
ENSMUSG00000008307	1700109H08Rik	protein_coding	5	3621566	3634356
ENSMUSG00000091329	1700112D23Rik	lncRNA	3	28756816	28835257
ENSMUSG00000096935	1700113A16Rik	lncRNA	3	88078863	88085092
ENSMUSG00000085614	1700123M08Rik	lncRNA	4	11966565	11994280
ENSMUSG00000044145	1810024B03Rik	protein_coding	2	127028275	127050200
ENSMUSG00000054091	1810037I17Rik	protein_coding	3	122717852	122719833
ENSMUSG00000027713	1810062G17Rik	protein_coding	3	36530086	36536448
ENSMUSG00000091575	2010016I18Rik	lncRNA	3	106389298	106393229
ENSMUSG00000053353	2310001K24Rik	lncRNA	2	163313877	163314925
ENSMUSG00000079283	2310009B15Rik	protein_coding	1	138779721	138784590
ENSMUSG00000036873	2410004B18Rik	protein_coding	3	145643769	145650584
ENSMUSG00000073236	2500004C02Rik	lncRNA	2	153183077	153187993
ENSMUSG00000104891	2510017J16Rik	lncRNA	5	3635112	3636374
ENSMUSG00000044496	2510039O18Rik	protein_coding	4	148025352	148031771
ENSMUSG00000039798	2600006K01Rik	lncRNA	2	29758735	29760329
ENSMUSG00000079671	2610203C22Rik	lncRNA	1	9631057	9701400
ENSMUSG00000028536	2610528J11Rik	protein_coding	4	118384196	118387425
ENSMUSG00000086328	2700033N17Rik	lncRNA	2	115896699	115897925
ENSMUSG00000045464	2810002D19Rik	lncRNA	2	94236496	94242027
ENSMUSG00000101493	2810405F17Rik	lncRNA	4	137114577	137115693
ENSMUSG00000087213	2810408I11Rik	lncRNA	1	64719030	64729818
ENSMUSG00000100594	2810414N06Rik	lncRNA	1	151624700	151630769
ENSMUSG00000085766	2810430I11Rik	lncRNA	2	27772937	27777064
ENSMUSG00000026227	2810459M11Rik	protein_coding	1	85973585	85983178
ENSMUSG00000102014	2900009J06Rik	lncRNA	1	127681353	127701829
ENSMUSG00000107722	2900060B14Rik	lncRNA	1	118386382	118386997
ENSMUSG00000099632	2900093K20Rik	lncRNA	2	163261715	163262281
ENSMUSG00000026388	3110009E18Rik	protein_coding	1	120048917	120115919
ENSMUSG00000094958	3110021N24Rik	protein_coding	4	108576846	108639101
ENSMUSG00000097503	3110045C21Rik	lncRNA	1	169796978	169799965
ENSMUSG00000063364	3300002I08Rik	protein_coding	2	150152855	150204685
ENSMUSG00000075027	4631405J19Rik	lncRNA	2	92858301	92875077
ENSMUSG00000042579	4632404H12Rik	lncRNA	3	89674818	89680547
ENSMUSG00000090031	4732440D04Rik	lncRNA	1	6280090	6285517
ENSMUSG00000104950	4833413G10Rik	lncRNA	5	3679777	3681722
ENSMUSG00000097626	4921504A21Rik	lncRNA	5	19407366	19431553
ENSMUSG00000085704	4921531C22Rik	lncRNA	2	179617786	179620806
ENSMUSG00000086638	4930405A21Rik	lncRNA	2	156556460	156562829
ENSMUSG00000085558	4930412C18Rik	lncRNA	4	9770585	9823411
ENSMUSG00000087017	4930417H01Rik	lncRNA	2	122543967	122563376
ENSMUSG00000026736	4930426L09Rik	lncRNA	2	19003154	19004615
ENSMUSG00000085295	4930430E12Rik	lncRNA	4	6352105	6357530
ENSMUSG00000067795	4930444P10Rik	protein_coding	1	16136203	16163549
