"symbol_hs","symbol_mm"
"SAMD11","Samd11"
"NOC2L","Noc2l"
"KLHL17","Klhl17"
"PLEKHN1","Plekhn1"
"PERM1","Perm1"
"ISG15","Isg15"
"AGRN","Agrn"
"RNF223","Rnf223"
"C1orf159","9430015G10Rik"
"TTLL10","Ttll10"
"TNFRSF18","Tnfrsf18"
"TNFRSF4","Tnfrsf4"
"SDF4","Sdf4"
"B3GALT6","B3galt6"
"C1QTNF12","C1qtnf12"
"UBE2J2","Ube2j2"
"ACAP3","Acap3"
"PUSL1","Pusl1"
"INTS11","Ints11"
"CPTP","Cptp"
"TAS1R3","Tas1r3"
"DVL1","Dvl1"
"MXRA8","Mxra8"
"AURKAIP1","Aurkaip1"
"CCNL2","Ccnl2"
"MRPL20","Mrpl20"
"ANKRD65","Ankrd65"
"VWA1","Vwa1"
"ATAD3A","Atad3a"
"TMEM240","Tmem240"
"FNDC10","Fndc10"
"MIB2","Mib2"
"MMP23B","Mmp23"
"SLC35E2B","Slc35e2"
"NADK","Nadk"
"GNB1","Gnb1"
"TMEM52","Tmem52"
"CFAP74","Cfap74"
"GABRD","Gabrd"
"PRKCZ","Prkcz"
"FAAP20","Faap20"
"SKI","Ski"
"MORN1","Morn1"
"RER1","Rer1"
"PEX10","Pex10"
"PLCH2","Plch2"
"PANK4","Pank4"
"HES5","Hes5"
"PRXL2B","Prxl2b"
"MMEL1","Mmel1"
"TTC34","Ttc34"
"PRDM16","Prdm16"
"ARHGEF16","Arhgef16"
"MEGF6","Megf6"
"TPRG1L","Tprgl"
"WRAP73","Wrap73"
"TP73","Trp73"
"SMIM1","Smim1"
"LRRC47","Lrrc47"
"CEP104","Cep104"
"DFFB","Dffb"
"C1orf174","A430005L14Rik"
"AJAP1","Ajap1"
"NPHP4","Nphp4"
"KCNAB2","Kcnab2"
"CHD5","Chd5"
"RNF207","Rnf207"
"ICMT","Icmt"
"GPR153","Gpr153"
"ACOT7","Acot7"
"HES2","Hes2"
"ESPN","Espn"
"TNFRSF25","Tnfrsf25"
"PLEKHG5","Plekhg5"
"NOL9","Nol9"
"TAS1R1","Tas1r1"
"ZBTB48","Zbtb48"
"KLHL21","Klhl21"
"PHF13","Phf13"
"THAP3","Thap3"
"DNAJC11","Dnajc11"
"CAMTA1","Camta1"
"VAMP3","Vamp3"
"PER3","Per3"
"UTS2","Uts2"
"TNFRSF9","Tnfrsf9"
"PARK7","Park7"
"ERRFI1","Errfi1"
"SLC45A1","Slc45a1"
"RERE","Rere"
"SLC2A5","Slc2a5"
"GPR157","Gpr157"
